;Tempo[s];Z_onda[m];Z_heave[m];;;;
0;0;-0,611775361;0,079250012;;;;
1;0,100002778;-0,495371178;0,064907467;;;;
2;0,200005556;-0,357315738;0,050997918;;;;
3;0,300008334;-0,205124314;0,037534216;;;;
4;0,400011111;-0,04746115;0,02452758;;;;
5;0,500013889;0,106355575;0,011987582;;;;
6;0,600016667;0,24690789;-7,78545E-05;;;;
7;0,700019445;0,36525665;-0,011662463;;;;
8;0,800022223;0,453507552;-0,022761626;;;;
9;0,900025001;0,505327532;-0,033372364;;;;
10;1,000027779;0,516377101;-0,043493323;;;;
11;1,100030556;0,484629088;-0,053124756;;;;
12;1,200033334;0,410551251;-0,062268494;;;;
13;1,300036112;0,297138724;-0,070927919;;;;
14;1,40003889;0,149791894;-0,07910793;;;;
15;1,500041668;-0,023954823;-0,086814896;;;;
16;1,600044446;-0,214838171;-0,094056616;;;;
17;1,700047224;-0,412381413;-0,100842264;;;;
18;1,800050001;-0,605488922;-0,107182327;;;;
19;1,900052779;-0,783083926;-0,113088542;;;;
20;2,000055557;-0,934750572;-0,118573822;;;;
21;2,100058335;-1,051341178;-0,123652178;;;;
22;2,200061113;-1,125511831;-0,128338632;;;;
23;2,300063891;-1,152154081;-0,132649125;;;;
24;2,400066669;-1,128697117;-0,13660042;;;;
25;2,500069446;-1,055263003;-0,140209997;;;;
26;2,600072224;-0,934666736;-0,14349595;;;;
27;2,700075002;-0,772262469;-0,14647687;;;;
28;2,80007778;-0,575646596;-0,149171736;;;;
29;2,900080558;-0,354236836;-0,151599802;;;;
30;3,000083336;-0,118753617;-0,153780474;;;;
31;3,100086114;0,119364669;-0,155733207;;;;
32;3,200088891;0,348577731;-0,157477383;;;;
33;3,300091669;0,557854981;-0,159032207;;;;
34;3,400094447;0,737248159;-0,160416603;;;;
35;3,500097225;0,878393745;-0,16164911;;;;
36;3,600100003;0,974919102;-0,16274779;;;;
37;3,700102781;1,022732712;-0,163730139;;;;
38;3,800105558;1,020186347;-0,164613005;;;;
39;3,900108336;0,968104793;-0,165412513;;;;
40;4,000111114;0,869686497;-0,166144;;;;
41;4,100113892;0,730285601;-0,16682195;;;;
42;4,20011667;0,557091982;-0,167459942;;;;
43;4,300119448;0,358730704;-0,168070607;;;;
44;4,400122226;0,14480554;-0,168665584;;;;
45;4,500125003;-0,074587152;-0,169255488;;;;
46;4,600127781;-0,289347967;-0,169849887;;;;
47;4,700130559;-0,489842674;-0,170457275;;;;
48;4,800133337;-0,66732722;-0,171085063;;;;
49;4,900136115;-0,814311472;-0,171739567;;;;
50;5,000138893;-0,924848116;-0,172426006;;;;
51;5,100141671;-0,994738051;-0,173148502;;;;
52;5,200144448;-1,021648396;-0,173910089;;;;
53;5,300147226;-1,005143854;-0,174712725;;;;
54;5,400150004;-0,946636147;-0,175557308;;;;
55;5,500152782;-0,849259561;-0,176443699;;;;
56;5,60015556;-0,717683088;-0,177370749;;;;
57;5,700158338;-0,557871286;-0,178336329;;;;
58;5,800161116;-0,376806753;-0,179337373;;;;
59;5,900163893;-0,182187192;-0,180369911;;;;
60;6,000166671;0,017890476;-0,181429119;;;;
61;6,100169449;0,21524747;-0,182509373;;;;
62;6,200172227;0,401931666;-0,183604294;;;;
63;6,300175005;0,570508331;-0,184706814;;;;
64;6,400177783;0,714325425;-0,185809236;;;;
65;6,500180561;0,827747014;-0,186903298;;;;
66;6,600183338;0,906349401;-0,187980238;;;;
67;6,700186116;0,947075471;-0,189030872;;;;
68;6,800188894;0,948343479;-0,190045657;;;;
69;6,900191672;0,910107272;-0,191014771;;;;
70;7,00019445;0,833865575;-0,191928185;;;;
71;7,100197228;0,722618912;-0,192775738;;;;
72;7,200200006;0,580773669;-0,19354721;;;;
73;7,300202783;0,413994164;-0,194232397;;;;
74;7,400205561;0,229005112;-0,194821183;;;;
75;7,500208339;0,033348705;-0,195303607;;;;
76;7,600211117;-0,164897452;-0,195669933;;;;
77;7,700213895;-0,357433175;-0,195910707;;;;
78;7,800216673;-0,536068866;-0,196016825;;;;
79;7,900219451;-0,693066667;-0,195979578;;;;
80;8,000222228;-0,821475765;-0,195790705;;;;
81;8,100225006;-0,915447033;-0,195442439;;;;
82;8,200227784;-0,970511937;-0,194927538;;;;
83;8,300230562;-0,983811138;-0,194239324;;;;
84;8,40023334;-0,954259657;-0,193371705;;;;
85;8,500236118;-0,882637687;-0,192319191;;;;
86;8,600238896;-0,771599259;-0,191076917;;;;
87;8,700241673;-0,625594666;-0,18964064;;;;
88;8,800244451;-0,450706838;-0,188006751;;;;
89;8,900247229;-0,254406326;-0,186172266;;;;
90;9,000250007;-0,045234077;-0,184134824;;;;
91;9,100252785;0,167574624;-0,181892674;;;;
92;9,200255563;0,374508041;-0,179444663;;;;
