,Tempo[s],Z_onda[m],Z_heave[m]
0,0,-0.611775361,0.07925001242
1,0.1000027779,-0.4953711777,0.06490746657
2,0.2000055557,-0.3573157375,0.05099791779
3,0.3000083336,-0.2051243139,0.03753421598
4,0.4000111114,-0.04746114951,0.02452757967
5,0.5000138893,0.1063555752,0.01198758242
6,0.6000166671,0.2469078897,-0.00007785448116
7,0.700019445,0.3652566498,-0.0116624634
8,0.8000222228,0.453507552,-0.02276162605
9,0.9000250007,0.5053275322,-0.03337236388
10,1.000027779,0.5163771005,-0.04349332334
11,1.100030556,0.4846290885,-0.05312475605
12,1.200033334,0.4105512512,-0.06226849398
13,1.300036112,0.2971387243,-0.0709279194
14,1.40003889,0.1497918941,-0.07910792953
15,1.500041668,-0.02395482316,-0.08681489563
16,1.600044446,-0.2148381713,-0.0940566162
17,1.700047224,-0.4123814135,-0.100842264
18,1.800050001,-0.6054889217,-0.107182327
19,1.900052779,-0.7830839257,-0.1130885419
20,2.000055557,-0.934750572,-0.1185738222
21,2.100058335,-1.051341178,-0.1236521784
22,2.200061113,-1.125511831,-0.1283386324
23,2.300063891,-1.152154081,-0.1326491254
24,2.400066669,-1.128697117,-0.1366004201
25,2.500069446,-1.055263003,-0.1402099975
26,2.600072224,-0.9346667356,-0.1434959498
27,2.700075002,-0.7722624689,-0.1464768696
28,2.80007778,-0.5756465956,-0.1491717363
29,2.900080558,-0.3542368356,-0.1515998015
30,3.000083336,-0.1187536166,-0.1537804743
31,3.100086114,0.1193646694,-0.1557332069
32,3.200088891,0.3485777306,-0.1574773827
33,3.300091669,0.5578549813,-0.1590322073
34,3.400094447,0.7372481585,-0.1604166032
35,3.500097225,0.8783937449,-0.1616491101
36,3.600100003,0.974919102,-0.16274779
37,3.700102781,1.022732712,-0.1637301387
38,3.800105558,1.020186347,-0.1646130046
39,3.900108336,0.9681047929,-0.1654125133
40,4.000111114,0.8696864971,-0.1661440001
41,4.100113892,0.7302856012,-0.1668219496
42,4.20011667,0.5570919824,-0.167459942
43,4.300119448,0.3587307038,-0.1680706069
44,4.400122226,0.1448055402,-0.1686655837
45,4.500125003,-0.07458715168,-0.1692554884
46,4.600127781,-0.2893479671,-0.1698498871
47,4.700130559,-0.4898426737,-0.1704572752
48,4.800133337,-0.6673272204,-0.1710850631
49,4.900136115,-0.8143114717,-0.1717395671
50,5.000138893,-0.9248481163,-0.1724260057
51,5.100141671,-0.9947380511,-0.1731485018
52,5.200144448,-1.021648396,-0.1739100892
53,5.300147226,-1.005143854,-0.1747127253
54,5.400150004,-0.9466361469,-0.1755573084
55,5.500152782,-0.8492595611,-0.1764436992
56,5.60015556,-0.7176830884,-0.1773707486
57,5.700158338,-0.5578712862,-0.1783363294
58,5.800161116,-0.3768067526,-0.179337373
59,5.900163893,-0.1821871922,-0.1803699106
60,6.000166671,0.01789047625,-0.1814291195
61,6.100169449,0.2152474703,-0.1825093726
62,6.200172227,0.4019316656,-0.1836042935
63,6.300175005,0.5705083306,-0.1847068141
64,6.400177783,0.7143254248,-0.1858092364
65,6.500180561,0.8277470137,-0.1869032978
66,6.600183338,0.9063494015,-0.1879802385
67,6.700186116,0.9470754706,-0.189030872
68,6.800188894,0.9483434795,-0.1900456571
69,6.900191672,0.9101072716,-0.1910147714
70,7.00019445,0.8338655752,-0.1919281855
71,7.100197228,0.7226189122,-0.1927757381
72,7.200200006,0.580773669,-0.19354721
73,7.300202783,0.413994164,-0.1942323972
74,7.400205561,0.2290051124,-0.1948211831
75,7.500208339,0.03334870524,-0.1953036073
76,7.600211117,-0.1648974516,-0.1956699325
77,7.700213895,-0.3574331747,-0.1959107074
78,7.800216673,-0.5360688658,-0.1960168251
79,7.900219451,-0.6930666669,-0.1959795778
80,8.000222228,-0.8214757645,-0.1957907052
81,8.100225006,-0.915447033,-0.1954424386
82,8.200227784,-0.9705119369,-0.1949275381
83,8.300230562,-0.9838111384,-0.1942393244
84,8.40023334,-0.9542596566,-0.1933717046
85,8.500236118,-0.8826376867,-0.1923191913
86,8.600238896,-0.7715992586,-0.1910769167
87,8.700241673,-0.6255946663,-0.1896406401
88,8.800244451,-0.4507068384,-0.1880067507
89,8.900247229,-0.2544063257,-0.1861722658
90,9.000250007,-0.04523407681,-0.1841348235
91,9.100252785,0.1675746236,-0.1818926736
92,9.200255563,0.3745080405,-0.1794446633
93,9.300258341,0.5662178661,-0.1767902222
94,9.400261118,0.733959466,-0.1739293442
95,9.500263896,0.8700102543,-0.1708625688
96,9.600266674,0.9680445859,-0.1675909614
97,9.700269452,1.023445433,-0.1641160936
98,9.80027223,1.033536139,-0.1604400228
99,9.900275008,0.9977195803,-0.1565652733
100,10.00027779,0.9175168402,-0.1524948168
101,10.10028056,0.7965028124,-0.1482320542
102,10.20028334,0.6401415755,-0.1437807975
103,10.30028612,0.4555297172,-0.1391452531
104,10.4002889,0.2510606216,-0.1343300039
105,10.50029167,0.03602684561,-0.1293399931
106,10.60029445,-0.1798191602,-0.1241805072
107,10.70029723,-0.3867237529,-0.1188571585
108,10.80030001,-0.5753872444,-0.1133758676
109,10.90030279,-0.737393044,-0.1077428451
110,11.00030556,-0.8655900711,-0.101964572
111,11.10030834,-0.9544105091,-0.0960477798
112,11.20031112,-1.00010865,-0.08999942956
113,11.3003139,-1.000910897,-0.08382668969
114,11.40031668,-0.957071693,-0.07753691353
115,11.50031945,-0.8708349427,-0.07113761619
116,11.60032223,-0.7463051175,-0.06463645115
117,11.70032501,-0.5892364689,-0.05804118696
118,11.80032779,-0.4067523654,-0.05135968427
119,11.90033056,-0.2070096037,-0.0445998737
120,12.00033334,0.001175496751,-0.03776973481
121,12.10033612,0.2087213708,-0.03087727649
122,12.2003389,0.4066778771,-0.02393051926
123,12.30034168,0.5866080883,-0.01693747957
124,12.40034445,0.7409393827,-0.009906156473
125,12.50034723,0.8632700733,-0.002844520751
126,12.60035001,0.9486203262,0.004239493347
127,12.70035279,0.9936189289,0.01133799381
128,12.80035557,0.9966204288,0.01844313398
129,12.90035834,0.9577501215,0.02554711332
130,13.00036112,0.8788772165,0.03264217593
131,13.1003639,0.7635191453,0.03972060718
132,13.20036668,0.6166823358,0.0467747287
133,13.30036945,0.4446468119,0.05379689224
134,13.40037223,0.2547036634,0.06077947266
135,13.50037501,0.05485576814,0.06771486064
136,13.60037779,-0.1465068727,0.07459545548
137,13.70038057,-0.3409451792,0.08141365848
138,13.80038334,-0.5203100997,0.08816186734
139,13.90038612,-0.6770704754,0.09483247203
140,14.0003889,-0.8046176873,0.1014178524
141,14.10039168,-0.8975357711,0.107910378
142,14.20039446,-0.9518266646,0.1143024103
143,14.30039723,-0.9650815766,0.1205863072
144,14.40040001,-0.9365911142,0.1267544311
145,14.50040279,-0.8673887811,0.1327991583
146,14.60040557,-0.7602247338,0.1387128924
147,14.70040834,-0.6194692042,0.1444880795
148,14.80041112,-0.4509477088,0.1501172258
149,14.9004139,-0.2617129693,0.1555929172
150,15.00041668,-0.05976126031,0.1609078411
151,15.10041946,0.146296452,0.1660548084
152,15.20042223,0.3475958529,0.1710267774
153,15.30042501,0.5353984271,0.1758168774
154,15.40042779,0.7014723515,0.1804184325
155,15.50043057,0.8384583486,0.1848249852
156,15.60043335,0.9402037626,0.1890303184
157,15.70043612,1.002048968,0.1930284765
158,15.8004389,1.021051899,0.1968137857
159,15.90044168,0.9961389273,0.2003808712
160,16.00044446,0.9281734792,0.2037246736
161,16.10044723,0.81993747,0.2068404631
162,16.20045001,0.6760247255,0.2097238514
163,16.30045279,0.502649827,0.2123708024
164,16.40045557,0.3073800253,0.214777641
165,16.50045835,0.09880180714,0.2169410602
